;País;Região;População;Área (Km);Densidade Populacional;Área Costeira (costa/Área);Taxa de Migração;Taxa de Mortalidade Infantil (por 1000 nascimentos);Renda Per capita ($);Taxa de Alfabetização (%);Telefones (por 1000);Taxa de Natalidade;Taxa de Óbito
134;Mayotte ;SUB-SAHARAN AFRICA                 ;201234;374;538.1;49.52;6.78;62.4;2600.0;;49.7;40.95;7.7
135;Mexico ;LATIN AMER. & CARIB    ;107449525;1972550;54.5;0.47;-4.87;20.91;9000.0;92.2;181.6;20.69;4.74
136;Micronesia, Fed. St. ;OCEANIA                            ;108004;702;153.9;870.66;-20.99;30.21;2000.0;89.0;114.8;24.68;4.75
137;Moldova ;C.W. OF IND. STATES ;4466706;33843;132.0;0.0;-0.26;40.42;1800.0;99.1;208.1;15.7;12.64
138;Monaco ;WESTERN EUROPE                     ;32543;2;16271.5;205.0;7.75;5.43;27000.0;99.0;1035.6;9.19;12.91
139;Mongolia ;ASIA (EX. NEAR EAST)         ;2832224;1564116;1.8;0.0;0.0;53.79;1800.0;97.8;55.1;21.59;6.95
140;Montserrat ;LATIN AMER. & CARIB    ;9439;102;92.5;39.22;0.0;7.35;3400.0;97.0;;17.59;7.1
141;Morocco ;NORTHERN AFRICA                    ;33241259;446550;74.4;0.41;-0.98;41.62;4000.0;51.7;40.4;21.98;5.58
142;Mozambique ;SUB-SAHARAN AFRICA                 ;19686505;801590;24.6;0.31;0.0;130.79;1200.0;47.8;3.5;35.18;21.35
143;Namibia ;SUB-SAHARAN AFRICA                 ;2044147;825418;2.5;0.19;0.0;48.98;7200.0;84.0;62.6;24.32;18.86
144;Nauru ;OCEANIA                            ;13287;21;632.7;142.86;0.0;9.95;5000.0;;143.0;24.76;6.7
145;Nepal ;ASIA (EX. NEAR EAST)         ;28287147;147181;192.2;0.0;0.0;66.98;1400.0;45.2;15.9;30.98;9.31
146;Netherlands ;WESTERN EUROPE                     ;16491461;41526;397.1;1.09;2.91;5.04;28600.0;99.0;460.8;10.9;8.68
147;Netherlands Antilles ;LATIN AMER. & CARIB    ;221736;960;231.0;37.92;-0.41;10.03;11400.0;96.7;365.3;14.78;6.45
148;New Caledonia ;OCEANIA                            ;219246;19060;11.5;11.83;0.0;7.72;15000.0;91.0;252.2;18.11;5.69
149;New Zealand ;OCEANIA                            ;4076140;268680;15.2;5.63;4.05;5.85;21600.0;99.0;441.7;13.76;7.53
150;Nicaragua ;LATIN AMER. & CARIB    ;5570129;129494;43.0;0.7;-1.22;29.11;2300.0;67.5;39.7;24.51;4.45
151;Niger ;SUB-SAHARAN AFRICA                 ;12525094;1267000;9.9;0.0;-0.67;121.69;800.0;17.6;1.9;50.73;20.91
152;Nigeria ;SUB-SAHARAN AFRICA                 ;131859731;923768;142.7;0.09;0.26;98.8;900.0;68.0;9.3;40.43;16.94
153;N. Mariana Islands ;OCEANIA                            ;82459;477;172.9;310.69;9.61;7.11;12500.0;97.0;254.7;19.43;2.29
154;Norway ;WESTERN EUROPE                     ;4610820;323802;14.2;7.77;1.74;3.7;37800.0;100.0;461.7;11.46;9.4
155;Oman ;NEAR EAST                          ;3102229;212460;14.6;0.98;0.28;19.51;13100.0;75.8;85.5;36.24;3.81
156;Pakistan ;ASIA (EX. NEAR EAST)         ;165803560;803940;206.2;0.13;-2.77;72.44;2100.0;45.7;31.8;29.74;8.23
157;Palau ;OCEANIA                            ;20579;458;44.9;331.66;2.85;14.84;9000.0;92.0;325.6;18.03;6.8
158;Panama ;LATIN AMER. & CARIB    ;3191319;78200;40.8;3.18;-0.91;20.47;6300.0;92.6;137.9;21.74;5.36
159;Papua New Guinea ;OCEANIA                            ;5670544;462840;12.3;1.11;0.0;51.45;2200.0;64.6;10.9;29.36;7.25
160;Paraguay ;LATIN AMER. & CARIB    ;6506464;406750;16.0;0.0;-0.08;25.63;4700.0;94.0;49.2;29.1;4.49
161;Peru ;LATIN AMER. & CARIB    ;28302603;1285220;22.0;0.19;-1.05;31.94;5100.0;90.9;79.5;20.48;6.23
162;Philippines ;ASIA (EX. NEAR EAST)         ;89468677;300000;298.2;12.1;-1.5;23.51;4600.0;92.6;38.4;24.89;5.41
163;Poland ;EASTERN EUROPE                     ;38536869;312685;123.3;0.16;-0.49;8.51;11100.0;99.8;306.3;9.85;9.89
164;Portugal ;WESTERN EUROPE                     ;10605870;92391;114.8;1.94;3.57;5.05;18000.0;93.3;399.2;10.72;10.5
165;Puerto Rico ;LATIN AMER. & CARIB    ;3927188;13790;284.8;3.63;-1.46;8.24;16800.0;94.1;283.1;12.77;7.65
166;Qatar ;NEAR EAST                          ;885359;11437;77.4;4.92;16.29;18.61;21500.0;82.5;232.0;15.56;4.72
167;Reunion ;SUB-SAHARAN AFRICA                 ;787584;2517;312.9;8.22;0.0;7.78;5800.0;88.9;380.9;18.9;5.49
168;Romania ;EASTERN EUROPE                     ;22303552;237500;93.9;0.09;-0.13;26.43;7000.0;98.4;196.9;10.7;11.77
169;Russia ;C.W. OF IND. STATES ;142893540;17075200;8.4;0.22;1.02;15.39;8900.0;99.6;280.6;9.95;14.65
170;Rwanda ;SUB-SAHARAN AFRICA                 ;8648248;26338;328.4;0.0;0.0;91.23;1300.0;70.4;2.7;40.37;16.09
171;Saint Helena ;SUB-SAHARAN AFRICA                 ;7502;413;18.2;14.53;0.0;19.0;2500.0;97.0;293.3;12.13;6.53
172;Saint Kitts & Nevis ;LATIN AMER. & CARIB    ;39129;261;149.9;51.72;-7.11;14.49;8800.0;97.0;638.9;18.02;8.33
173;Saint Lucia ;LATIN AMER. & CARIB    ;168458;616;273.5;25.65;-2.67;13.53;5400.0;67.0;303.3;19.68;5.08
174;St Pierre & Miquelon ;NORTHERN AMERICA                   ;7026;242;29.0;49.59;-4.86;7.54;6900.0;99.0;683.2;13.52;6.83
175;Saint Vincent and the Grenadines ;LATIN AMER. & CARIB    ;117848;389;303.0;21.59;-7.64;14.78;2900.0;96.0;190.9;16.18;5.98
176;Samoa ;OCEANIA                            ;176908;2944;60.1;13.69;-11.7;27.71;5600.0;99.7;75.2;16.43;6.62
177;San Marino ;WESTERN EUROPE                     ;29251;61;479.5;0.0;10.98;5.73;34600.0;96.0;704.3;10.02;8.17
178;Sao Tome & Principe ;SUB-SAHARAN AFRICA                 ;193413;1001;193.2;20.88;-2.72;43.11;1200.0;79.3;36.2;40.25;6.47
179;Saudi Arabia ;NEAR EAST                          ;27019731;1960582;13.8;0.13;-2.71;13.24;11800.0;78.8;140.6;29.34;2.58
180;Senegal ;SUB-SAHARAN AFRICA                 ;11987121;196190;61.1;0.27;0.2;55.51;1600.0;40.2;22.2;32.78;9.42
181;Serbia ;EASTERN EUROPE                     ;9396411;88361;106.3;0.0;-1.33;12.89;2200.0;93.0;285.8;;
182;Seychelles ;SUB-SAHARAN AFRICA                 ;81541;455;179.2;107.91;-5.69;15.53;7800.0;58.0;262.4;16.03;6.29
183;Sierra Leone ;SUB-SAHARAN AFRICA                 ;6005250;71740;83.7;0.56;0.0;143.64;500.0;31.4;4.0;45.76;23.03
184;Singapore ;ASIA (EX. NEAR EAST)         ;4492150;693;6482.2;27.85;11.53;2.29;23700.0;92.5;411.4;9.34;4.28
185;Slovakia ;EASTERN EUROPE                     ;5439448;48845;111.4;0.0;0.3;7.41;13300.0;;220.1;10.65;9.45
186;Slovenia ;EASTERN EUROPE                     ;2010347;20273;99.2;0.23;1.12;4.45;19000.0;99.7;406.1;8.98;10.31
187;Solomon Islands ;OCEANIA                            ;552438;28450;19.4;18.67;0.0;21.29;1700.0;;13.4;30.01;3.92
188;Somalia ;SUB-SAHARAN AFRICA                 ;8863338;637657;13.9;0.47;5.37;116.7;500.0;37.8;11.3;45.13;16.63
189;South Africa ;SUB-SAHARAN AFRICA                 ;44187637;1219912;36.2;0.23;-0.29;61.81;10700.0;86.4;107.0;18.2;22.0
190;Spain ;WESTERN EUROPE                     ;40397842;504782;80.0;0.98;0.99;4.42;22000.0;97.9;453.5;10.06;9.72
191;Sri Lanka ;ASIA (EX. NEAR EAST)         ;20222240;65610;308.2;2.04;-1.31;14.35;3700.0;92.3;61.5;15.51;6.52
192;Sudan ;SUB-SAHARAN AFRICA                 ;41236378;2505810;16.5;0.03;-0.02;62.5;1900.0;61.1;16.3;34.53;8.97
193;Suriname ;LATIN AMER. & CARIB    ;439117;163270;2.7;0.24;-8.81;23.57;4000.0;93.0;184.7;18.02;7.27
194;Swaziland ;SUB-SAHARAN AFRICA                 ;1136334;17363;65.5;0.0;0.0;69.27;4900.0;81.6;30.8;27.41;29.74
195;Sweden ;WESTERN EUROPE                     ;9016596;449964;20.0;0.72;1.67;2.77;26800.0;99.0;715.0;10.27;10.31
196;Switzerland ;WESTERN EUROPE                     ;7523934;41290;182.2;0.0;4.05;4.39;32700.0;99.0;680.9;9.71;8.49
197;Syria ;NEAR EAST                          ;18881361;185180;102.0;0.1;0.0;29.53;3300.0;76.9;153.8;27.76;4.81
198;Taiwan ;ASIA (EX. NEAR EAST)         ;23036087;35980;640.3;4.35;0.0;6.4;23400.0;96.1;591.0;12.56;6.48
199;Tajikistan ;C.W. OF IND. STATES ;7320815;143100;51.2;0.0;-2.86;110.76;1000.0;99.4;33.5;32.65;8.25
200;Tanzania ;SUB-SAHARAN AFRICA                 ;37445392;945087;39.6;0.15;-2.06;98.54;600.0;78.2;4.0;37.71;16.39
